경북,안동시,-,2,-,0,15,4,1,0,-,0,-
경북,구미시,0,0,0,0,20,3,0,2,-,0,-
경북,영주시,1,0,-,0,6,3,1,0,-,0,-
경북,영천시,-,0,-,-,15,2,0,4,-,0,-
경북,문경시,1,1,0,-,9,4,0,0,-,0,-
경북,상주시,0,0,-,-,32,5,1,0,-,0,-
경북,군위군,0,-,-,-,5,0,0,0,-,0,-
경북,의성군,-,0,0,-,10,3,-,1,-,2,-
경북,청송군,-,-,-,3,0,2,-,0,-,0,-
경북,영양군,-,0,-,-,1,0,0,0,-,1,-
경북,영덕군,-,0,-,-,5,3,-,1,-,0,-
경북,청도군,0,-,-,4,7,2,1,0,-,0,-
경북,고령군,0,2,-,1,4,0,0,0,-,0,-
경북,성주군,0,0,-,-,6,3,0,0,-,0,-
경북,칠곡군,0,1,-,0,11,1,2,0,-,0,-
경북,예천군,-,0,-,-,7,2,2,2,-,0,-
경북,봉화군,-,0,-,-,6,2,-,0,-,1,-
경북,울진군,0,0,1,-,7,0,-,0,-,0,-
경북,울릉군,-,-,-,-,1,0,-,0,-,0,-
경북,경산시,1,1,0,1,11,3,0,5,-,1,-
경남,진주시,-,1,-,-,15,3,2,4,-,2,-
경남,통영시,-,0,-,-,7,0,0,1,-,2,-
경남,김해시,1,0,0,0,19,6,1,6,-,0,-
경남,밀양시,0,0,-,1,5,0,0,3,-,0,-
경남,거제시,0,0,-,-,5,7,0,2,-,0,-
경남,의령군,-,0,-,-,4,1,0,0,-,0,-
경남,함안군,0,0,-,-,7,2,0,1,-,0,-
경남,창녕군,-,0,-,-,9,1,0,1,-,0,-
경남,양산시,2,0,0,0,8,3,0,5,-,1,0
경남,고성군,-,0,0,1,8,1,0,0,-,0,-
경남,사천시,-,1,-,-,3,2,1,3,-,1,-
경남,남해군,-,0,-,-,3,3,-,0,-,0,-
경남,하동군,0,1,-,-,4,2,-,2,-,1,-
경남,산청군,0,0,-,-,8,1,0,0,-,0,-
경남,함양군,-,0,-,0,7,0,-,0,-,0,-
경남,거창군,2,-,-,-,9,6,0,1,-,0,-
경남,합천군,-,1,-,-,2,4,0,3,-,2,-
경남,창원시(통합),2,0,1,2,25,11,6,11,-,1,-
제주,제주시,-,-,0,0,30,7,4,2,-,1,0
제주,서귀포시,-,0,0,1,10,9,1,3,-,0,-
